variableURI,variable,date,value,objectURI,provenanceURI,experimentURI
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.85678,http://www.opensilex.org/demo/2018/o18000170,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.851125,http://www.opensilex.org/demo/2018/o18000169,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.858335,http://www.opensilex.org/demo/2018/o18000168,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.89055,http://www.opensilex.org/demo/2018/o18000167,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.854005,http://www.opensilex.org/demo/2018/o18000166,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.894805,http://www.opensilex.org/demo/2018/o18000165,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.872505,http://www.opensilex.org/demo/2018/o18000164,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.891755,http://www.opensilex.org/demo/2018/o18000163,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.86608,http://www.opensilex.org/demo/2018/o18000162,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.860875,http://www.opensilex.org/demo/2018/o18000161,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.85743,http://www.opensilex.org/demo/2018/o18000160,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
http://phenome-emphasis/variable/4P:000019,NDVI_NDVI-Measurement_index,2017-06-28T01:51:00+0200,0.887715,http://www.opensilex.org/demo/2018/o18000159,http://www.opensilex.org/demo/id/provenance/phenotyping-provenance-demo,http://www.opensilex.org/demo/DIA2017-1
