experimentUri,uri,name,type
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000160,160/DZ_PG_16/ZM4359/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000159,159/DZ_PG_66/ZM4391/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000158,158/DZ_PG_06/ZM4376/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000157,157/DZ_PG_68/ZM4395/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000156,156/DZ_PG_50/ZM4363/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000155,155/DZ_PG_43/ZM4380/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000154,154/DZ_PG_47/ZM4362/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000153,153/DZ_PG_11/ZM4386/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000152,152/DZ_PG_13/ZM4379/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000151,151/DKC4590/XXXX/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000150,150/DKC4590/XXXX/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000149,149/DZ_PG_62/ZM4393/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000148,148/DZ_PG_34/ZM4384/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000147,147/DZ_PG_21/ZM4360/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000146,146/DZ_PG_10/ZM4365/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000145,145/DZ_PG_55/ZM4355/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000144,144/DZ_PG_25/ZM4382/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000143,143/DZ_PG_46/ZM4374/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000142,142/DZ_PG_27/ZM4354/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000141,141/DZ_PG_01/ZM4381/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000140,140/DZ_PG_22/ZM4349/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000139,139/DZ_PG_74/ZM4397/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000138,138/DZ_PG_31/ZM4347/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000137,137/DZ_PG_09/ZM4368/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000136,136/DZ_PG_72/ZM4398/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000135,135/DZ_PG_48/ZM4421/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000134,134/DZ_PG_53/ZM4345/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000133,133/DZ_PG_12/ZM1304_lot1/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000132,132/DZ_PG_33/ZM4353/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000131,131/DZ_PG_40/ZM4390/WD1/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000065,65/DZ_PG_46/ZM4374/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000064,64/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000063,63/DZ_PG_06/ZM4376/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000062,62/DZ_PG_63/ZM4392/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000061,61/DZ_PG_31/ZM4347/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000060,60/DZ_PG_32/ZM4352/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000059,59/DZ_PG_44/ZM4369/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000058,58/DZ_PG_35/ZM4358/WW/1/DIA2017-05-19 ,vocabulary:Plot
